cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181023_J01_010_Out_seg_0_cid_1,20181023_J01_010_Out.czi,0,1,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_2,20181023_J01_010_Out.czi,0,2,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_3,20181023_J01_010_Out.czi,0,3,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_4,20181023_J01_010_Out.czi,0,4,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_5,20181023_J01_010_Out.czi,0,5,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_6,20181023_J01_010_Out.czi,0,6,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_7,20181023_J01_010_Out.czi,0,7,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_8,20181023_J01_010_Out.czi,0,8,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_9,20181023_J01_010_Out.czi,0,9,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_010_Out_seg_0_cid_10,20181023_J01_010_Out.czi,0,10,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_1,20181023_J01_011_Out.czi,0,1,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_2,20181023_J01_011_Out.czi,0,2,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_3,20181023_J01_011_Out.czi,0,3,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_4,20181023_J01_011_Out.czi,0,4,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_5,20181023_J01_011_Out.czi,0,5,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_6,20181023_J01_011_Out.czi,0,6,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_7,20181023_J01_011_Out.czi,0,7,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_8,20181023_J01_011_Out.czi,0,8,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_011_Out_seg_0_cid_9,20181023_J01_011_Out.czi,0,9,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_1,20181023_J01_012_Out.czi,0,1,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_2,20181023_J01_012_Out.czi,0,2,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_3,20181023_J01_012_Out.czi,0,3,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_4,20181023_J01_012_Out.czi,0,4,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_5,20181023_J01_012_Out.czi,0,5,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_6,20181023_J01_012_Out.czi,0,6,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_7,20181023_J01_012_Out.czi,0,7,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_8,20181023_J01_012_Out.czi,0,8,TSA-50nm,hiPS,CBX1,880,no
20181023_J01_012_Out_seg_0_cid_9,20181023_J01_012_Out.czi,0,9,TSA-50nm,hiPS,CBX1,880,no
20181026_J02_010_Out_seg_0_cid_1,20181026_J02_010_Out.czi,0,1,TSA-50nm,hiPS,CBX1,880,no
20181026_J02_010_Out_seg_0_cid_2,20181026_J02_010_Out.czi,0,2,TSA-50nm,hiPS,CBX1,880,no
20181026_J02_010_Out_seg_0_cid_3,20181026_J02_010_Out.czi,0,3,TSA-50nm,hiPS,CBX1,880,no
