cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181016_C03_010_Out_seg_0_cid_1,20181016_C03_010_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_2,20181016_C03_010_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_3,20181016_C03_010_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_4,20181016_C03_010_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_5,20181016_C03_010_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_6,20181016_C03_010_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_7,20181016_C03_010_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_8,20181016_C03_010_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_9,20181016_C03_010_Out.czi,0,9,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_10,20181016_C03_010_Out.czi,0,10,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_11,20181016_C03_010_Out.czi,0,11,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_12,20181016_C03_010_Out.czi,0,12,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_13,20181016_C03_010_Out.czi,0,13,TSA-50nm,hiPS,H2B,880,no
20181016_C03_010_Out_seg_0_cid_14,20181016_C03_010_Out.czi,0,14,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_1,20181016_C03_011_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_2,20181016_C03_011_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_3,20181016_C03_011_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_4,20181016_C03_011_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_5,20181016_C03_011_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_6,20181016_C03_011_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_7,20181016_C03_011_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181016_C03_011_Out_seg_0_cid_8,20181016_C03_011_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_1,20181016_C03_012_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_2,20181016_C03_012_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_3,20181016_C03_012_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_4,20181016_C03_012_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_5,20181016_C03_012_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_6,20181016_C03_012_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_7,20181016_C03_012_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_8,20181016_C03_012_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_9,20181016_C03_012_Out.czi,0,9,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_10,20181016_C03_012_Out.czi,0,10,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_11,20181016_C03_012_Out.czi,0,11,TSA-50nm,hiPS,H2B,880,no
20181016_C03_012_Out_seg_0_cid_12,20181016_C03_012_Out.czi,0,12,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_1,20181019_C06_008_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_2,20181019_C06_008_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_3,20181019_C06_008_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_4,20181019_C06_008_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_5,20181019_C06_008_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_6,20181019_C06_008_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_7,20181019_C06_008_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_8,20181019_C06_008_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_9,20181019_C06_008_Out.czi,0,9,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_10,20181019_C06_008_Out.czi,0,10,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_11,20181019_C06_008_Out.czi,0,11,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_12,20181019_C06_008_Out.czi,0,12,TSA-50nm,hiPS,H2B,880,no
20181019_C06_008_Out_seg_0_cid_13,20181019_C06_008_Out.czi,0,13,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_1,20181019_C06_009_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_2,20181019_C06_009_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_3,20181019_C06_009_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_4,20181019_C06_009_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_5,20181019_C06_009_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_6,20181019_C06_009_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_7,20181019_C06_009_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_8,20181019_C06_009_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181019_C06_009_Out_seg_0_cid_9,20181019_C06_009_Out.czi,0,9,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_1,20181019_C06_010_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_2,20181019_C06_010_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_3,20181019_C06_010_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_4,20181019_C06_010_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_5,20181019_C06_010_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_6,20181019_C06_010_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181019_C06_010_Out_seg_0_cid_7,20181019_C06_010_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_1,20181106_J01_020_Out.czi,0,1,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_2,20181106_J01_020_Out.czi,0,2,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_3,20181106_J01_020_Out.czi,0,3,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_4,20181106_J01_020_Out.czi,0,4,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_5,20181106_J01_020_Out.czi,0,5,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_6,20181106_J01_020_Out.czi,0,6,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_7,20181106_J01_020_Out.czi,0,7,TSA-50nm,hiPS,H2B,880,no
20181106_J01_020_Out_seg_0_cid_8,20181106_J01_020_Out.czi,0,8,TSA-50nm,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_1,20181016_C04_009_Out.czi,0,1,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_2,20181016_C04_009_Out.czi,0,2,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_3,20181016_C04_009_Out.czi,0,3,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_4,20181016_C04_009_Out.czi,0,4,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_5,20181016_C04_009_Out.czi,0,5,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_6,20181016_C04_009_Out.czi,0,6,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_7,20181016_C04_009_Out.czi,0,7,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_8,20181016_C04_009_Out.czi,0,8,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_9,20181016_C04_009_Out.czi,0,9,Control,hiPS,H2B,880,no
20181016_C04_009_Out_seg_0_cid_10,20181016_C04_009_Out.czi,0,10,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_1,20181016_C04_010_Out.czi,0,1,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_2,20181016_C04_010_Out.czi,0,2,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_3,20181016_C04_010_Out.czi,0,3,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_4,20181016_C04_010_Out.czi,0,4,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_5,20181016_C04_010_Out.czi,0,5,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_6,20181016_C04_010_Out.czi,0,6,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_7,20181016_C04_010_Out.czi,0,7,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_8,20181016_C04_010_Out.czi,0,8,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_9,20181016_C04_010_Out.czi,0,9,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_10,20181016_C04_010_Out.czi,0,10,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_11,20181016_C04_010_Out.czi,0,11,Control,hiPS,H2B,880,no
20181016_C04_010_Out_seg_0_cid_12,20181016_C04_010_Out.czi,0,12,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_1,20181016_C04_011_Out.czi,0,1,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_2,20181016_C04_011_Out.czi,0,2,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_3,20181016_C04_011_Out.czi,0,3,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_4,20181016_C04_011_Out.czi,0,4,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_5,20181016_C04_011_Out.czi,0,5,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_6,20181016_C04_011_Out.czi,0,6,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_7,20181016_C04_011_Out.czi,0,7,Control,hiPS,H2B,880,no
20181016_C04_011_Out_seg_0_cid_8,20181016_C04_011_Out.czi,0,8,Control,hiPS,H2B,880,no
