"cell_id";"czi";"series_id";"cell_seg_id";"condition";"cell_type";"structure";"scope";"minipipeline";"dna_volume";"dna_shape_1st_axis_x";"dna_shape_1st_axis_y";"dna_shape_1st_axis_z";"dna_shape_2nd_axis_x";"dna_shape_2nd_axis_y";"dna_shape_2nd_axis_z";"dna_shape_3rd_axis_x";"dna_shape_3rd_axis_y";"dna_shape_3rd_axis_z";"dna_shape_1st_axis_length";"dna_shape_2nd_axis_length";"dna_shape_3rd_axis_length";"dna_shape_1st_eigenvalue";"dna_shape_2nd_eigenvalue";"dna_shape_3rd_eigenvalue";"dna_shape_meridional_eccentricity";"dna_shape_equator_eccentricity";"dna_position_lowest_z";"dna_position_highest_z";"dna_position_x_centroid";"dna_position_y_centroid";"dna_position_z_centroid";"dna_intensity_mean";"dna_intensity_median";"dna_intensity_sum";"dna_intensity_mode";"dna_intensity_max";"dna_intensity_std";"dna_intensity_entropy";"dna_texture_haralick_ang2nd_moment";"dna_texture_haralick_contrast";"dna_texture_haralick_corr";"dna_texture_haralick_variance";"dna_texture_haralick_inv_diff_moment";"dna_texture_haralick_sum_mean";"dna_texture_haralick_sum_var";"dna_texture_haralick_sum_entropy";"dna_texture_haralick_entropy";"dna_texture_haralick_diff_var";"dna_texture_haralick_diff_entropy";"dna_texture_haralick_info_corr1";"dna_texture_haralick_info_corr2";"dna_io_intensity_outer_volume";"dna_io_intensity_outer_mean";"dna_io_intensity_outer_slice_mean";"dna_io_intensity_mid_volume";"dna_io_intensity_mid_mean";"dna_io_intensity_mid_slice_mean";"dna_io_intensity_inner_volume";"dna_io_intensity_inner_mean";"dna_io_intensity_inner_slice_mean";"dna_bright_spots_number";"dna_bright_spots_number_used";"dna_bright_spots_intensity_mean";"dna_bright_spots_xy_cross_sec_area_mean";"dna_bright_spots_xy_cross_sec_area_std";"dna_surface_area";"dna_roundness_sphericity";"dna_roundness_roughness";"dna_roundness_roughness_xy";"dna_roundness_roughness_xz";"dna_roundness_roughness_yz";"dna_io_intensity_ratio";"dna_io_intensity_ratio_slice";"dna_bright_spots_intensity_mean_norm";"dna_bright_spots_xy_rad";"date";"group";"outlier"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_1";"20180924_R04.czi";0;1;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";704625;0.913580113569235;-0.406425273182177;0.0137794560711501;-0.399562339447485;-0.903424688250215;-0.15547916116076;-0.0756393613542338;-0.136536918006794;0.987743062256136;150.035093959525;131.022309009783;64.6710419743869;214.677047782952;888.478425246599;1246.14113391331;0.985049163316954;0.970370137299405;0;60;69.7942054284194;65.6514670924251;29.4142217491574;731.437229732127;770;515388958;785;1466;167.920264224013;5.95527743804811;0.000777495475164172;187.242712105186;0.77699878098848;439.634962722068;0.140546901639128;216.980370151582;1571.29713878308;7.02040649366196;11.1452493522426;0.000230010537430864;4.4571920255475;-0.163342044353209;0.918310624997839;138469;646.048913475218;734.531603459747;110922;789.064306449577;785.630512514899;288304;807.556749125923;811.96568478591;12;12;1085.59889591191;72.9166666666667;135.058912042939;59752;0.959286659653874;12.1669684217658;4.86010601914951;14.9790680194888;12.7421433644303;0.818753184239366;0.934958090042127;1.48419967125476;4.81768573773426;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_2";"20180924_R04.czi";0;2;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";715568;0.589923432562399;0.807115794974883;0.0235464905210945;0.79890204349356;-0.5791892268423;-0.162158454641232;0.117242776389894;-0.114472411575374;0.986483754743335;146.170135839437;123.837903365688;71.6634182149185;248.558141742271;830.735867136225;1213.11833596455;0.978784604616191;0.954189677549021;0;63;67.5001509290522;71.0750229188561;29.5225569058426;756.586296480558;788;541388943;796;1438;155.685240656767;5.93412259276813;0.000712917124872878;189.402662631441;0.772629047854615;431.922181882872;0.136393717268098;230.533714872789;1538.28606490005;7.07556670169336;11.2471310341919;0.000224221365724338;4.47806887104037;-0.160731228166351;0.91616194865417;117190;676.423065107944;733.749824314828;98773;800.769238557096;807.708759124088;355670;812.124902297073;818.858859491936;9;9;1170.00159893074;39.7777777777778;16.0192785090533;59776;0.963897778805086;11.6008632079065;5.24195616665711;12.5769126606116;14.4562775070078;0.844716595665924;0.908433660061501;1.54642187464044;3.5583226268972;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_3";"20180924_R04.czi";0;3;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";759304;0.974525834816498;0.221917408733029;-0.032435489458713;0.219735926177755;-0.973713483167597;-0.0599847934432522;0.0448945433434018;-0.0513294885893413;0.997672172398902;169.088159132731;117.726002524337;62.8908974754622;228.622982760077;736.587336936386;1629.83921457751;0.990112817501968;0.950612123071434;0;60;83.3585138495254;62.1241597568299;27.8058603668623;789.371764141898;822;599373138;839;1598;178.717908679576;6.17051469707061;0.000615262755086027;172.365579003035;0.817358697372143;488.268224560274;0.136694945235282;208.358540220018;1780.70731923806;7.26400775392607;11.4383306130721;0.000224115875230037;4.47142947503937;-0.182622396090331;0.941217215366066;137317;684.995965539591;788.184434270765;111752;847.934238313408;851.656675749319;344204;866.918365271757;875.097531773807;19;19;1157.17317761133;34.9473684210526;17.288492321744;62332;0.964490916601166;14.0579760929074;9.45163991542577;18.8313477996591;10.3868536688853;0.807840908632359;0.925472031998448;1.46594194291869;3.33528002790294;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_4";"20180924_R04.czi";0;4;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";463092;0.57320393898079;-0.818393816542874;-0.0408510144463583;-0.815927444310423;-0.565462863389878;-0.120474709993351;-0.0754960261071357;-0.102388042130463;0.991875515813714;122.332438667924;118.709027192036;56.9565480838482;176.46266945129;710.337029299566;823.345535712665;0.976762634115094;0.968652147455965;0;55;59.1318636469643;62.9796649477857;26.5515469928222;672.347585361008;712;311358788;727;1286;161.095074834529;5.83415840356019;0.000768794836879661;249.60962824091;0.751159450873173;525.90289264437;0.136340619688981;238.896084403988;1854.00194233658;7.05183435809686;11.2069645272085;0.000219001132327355;4.55909016442299;-0.161228906630673;0.915231945514665;103413;610.795605968302;706.567068273092;77980;734.133149525519;726.131599684791;159080;745.542268041237;744.007011393515;9;9;981.284454786674;38.5555555555556;11.5673017223466;45308;0.956752128877597;9.7882450877205;2.51707227450735;12.0517890027653;12.8801089226693;0.831995675938442;0.973056493588502;1.45948981769569;3.5032291533158;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_5";"20180924_R04.czi";0;5;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";513947;0.994992881765646;0.0757874838326855;0.0651569070015297;0.078797681300099;-0.995877193972943;-0.0449392917868687;-0.0614824418628898;-0.0498484886319302;0.996862597113408;130.587930847453;114.862963603048;57.3466342070344;192.864174507788;705.843467651002;932.502217010639;0.978378088464867;0.961946092733239;0;55;63.009032059726;59.0338595224799;27.7124606233717;634.668609798287;667;326186028;674;1104;136.124001334681;5.60285921359523;0.00070475352696634;279.857451294935;0.697623947631759;490.529685057504;0.12317254531027;250.986084087369;1682.26128893508;6.99659436017117;11.3048733442363;0.000198132735968858;4.66891865829342;-0.13117984168082;0.873532876613332;100714;584.813084576126;680.403605015674;80495;677.581700726753;679.476070528967;211172;687.353986323944;687.885200370321;7;7;892.000206194152;36.8571428571429;15.7246718923623;47048;0.98389257605865;10.1971268571636;3.61837207135843;13.5432495838592;10.7839812939439;0.863088663623699;1.00136507307165;1.40545820672879;3.42519969460422;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_6";"20180924_R04.czi";0;6;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";455497;0.462014853167844;0.883045827055811;0.0822942450698338;0.85465908961072;-0.468094145897513;0.224601226893919;-0.236854630518535;0.0334355782931259;0.970969590721631;137.014766801166;91.7964164525193;63.0540838161863;201.513901911427;446.579776077593;1110.05142927267;0.98338436518361;0.892403490956972;0;60;56.2100672452288;63.7179081311183;27.2719995960456;693.032199992536;724;315674088;730;1178;148.311148165876;5.86409102167932;0.000563920880454381;292.91412488313;0.74608430903958;603.270051086808;0.12375050526832;272.457451685807;2120.1660794641;7.244230726674;11.5643822000218;0.000198389186638;4.67710490247014;-0.157612286581251;0.917651195344154;90906;632.703363914373;706.01355661882;69575;739.998706431908;739.736888111888;186199;757.165049221532;762.084028009336;8;8;924.233501072131;66.625;43.6747567251382;44366;0.962829936877936;11.00949066647;9.10000870599583;7.79617316162326;12.2507963986454;0.855006040436359;0.95441172120111;1.33360831009307;4.60514887566027;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_7";"20180924_R04.czi";0;7;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";692784;0.950369283721512;-0.310784800647093;0.0145269489366338;-0.309693254078607;-0.949439633222287;-0.05152156097142;-0.0298045791257663;-0.0444656109086028;0.998566220392849;150.015378208881;130.727509250627;58.4227703986245;201.373321445068;916.13166561137;1256.83171951718;0.98708084633101;0.975543090832783;0;55;71.6389754959699;63.801733296381;27.2228616711702;701.966859800457;739;486311409;748;1658;167.590745250336;5.90741017870849;0.00111107377178738;130.618117046984;0.789494533526606;320.119294829665;0.161217692118992;170.778438580385;1149.85906227167;6.78027095221128;10.676486953235;0.000268789479845805;4.24096690400121;-0.167988096836405;0.915524828473036;138070;620.459469834142;739.910340314136;110620;756.83403543663;754.676803394625;278095;776.981315737428;778.796801233259;11;11;1150.05453863701;67.2727272727273;142.237375799683;58086;0.975221385074838;12.5904241407922;4.11970882905049;16.3863640596877;13.1868961295675;0.819809153371636;0.980433394780298;1.63833167133264;4.62748032534499;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_8";"20180924_R04.czi";0;8;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";522681;0.989196326570763;-0.139625635200332;-0.0446688873133514;-0.14232505285383;-0.987723976684786;-0.0643810935923456;0.0351312799235048;-0.0700430430299512;0.996925155312093;141.816025071674;107.657008672426;58.4134675162447;192.717674630097;595.987409963843;1145.86525663892;0.98575540066866;0.946276489175508;0;55;71.3775285499186;55.3275496909205;26.0846309699415;664.258486533851;701;347195290;701;1386;157.332300111416;5.82852209615958;0.000858831189993586;188.53434108883;0.75892299482256;411.716501488952;0.145924766657364;203.824728913358;1458.33166486698;6.9547562999874;11.0176880906049;0.000238848642007803;4.42155869523575;-0.162963197888189;0.914421447287903;111843;605.525352503062;709.184966838615;86218;717.15519961029;717.308502024291;191249;732.451625890854;737.017788397717;7;7;1030.65812990633;27.2857142857143;11.9727581941468;47998;0.978782030101923;11.3408330582459;6.62477712480857;15.5809286348909;9.98703153028177;0.844343529590403;0.988674977136404;1.55159196427339;2.9470854430656;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_11";"20180924_R04.czi";0;11;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";732346;-0.0603664092386386;0.996797760838079;0.0524415924989343;-0.997819852558012;-0.0588576343070382;-0.0298549949737952;-0.0266728040659303;-0.0541295009395995;0.998177618789006;153.362704450948;138.29473770494;62.3057940875799;217.912512944149;1001.97622534873;1185.74037936428;0.982967851091585;0.976064171729964;0;60;69.9814145226437;74.7128461137222;27.8085222012546;664.890335988727;699;486929778;711;1488;152.264509606228;5.75543375513172;0.00123482885032674;156.643322595732;0.757456058782775;337.7499317627;0.162578000715852;193.681070856169;1194.35640445507;6.66459062534589;10.5585982259632;0.000270238757873629;4.26108967209059;-0.156998874434619;0.900868536850365;146279;597.823494828376;685.730117340287;116447;718.850378283683;711.883971291866;293784;727.522870544346;726.014188369271;9;9;1132.58076269501;27.7777777777778;24.6791760072143;61772;0.953192167298313;12.2320618112221;3.24024470264957;13.9486225301286;16.2708772881482;0.831638283693654;0.96326107201976;1.70340987286392;2.97354019358795;"D20180924";"H2B TSA-50nm D20180924";"no"
"20180924_R04-Scene-01-P15-B01_seg_0_cid_12";"20180924_R04.czi";0;12;"TSA-50nm";"hiPS";"H2B";"ZSD";"no";549012;0.901220769679235;-0.43305717327653;0.01620521436173;-0.429735149617867;-0.897883541968029;-0.0955659261758885;-0.055935905120745;-0.0791620473250153;0.995291185925825;146.411187646503;113.461578018593;55.9177646365127;179.200128950492;685.427803787947;1197.31002429701;0.988736166380381;0.965218985118917;0;52;73.2325887230152;62.3537827952759;26.3746639417718;668.189879274041;701;366844262;710;1128;141.559042631079;5.71900767429033;0.000615769023912428;298.033434096185;0.711600299713824;545.945176499252;0.117653540785729;263.422153638802;1885.74727190083;7.11356808597739;11.5004873900901;0.000187553335764403;4.73993226035201;-0.134327412480733;0.883995481538006;102785;610.921827114851;706.546033994334;83355;713.44142522944;719.704980842912;238507;719.796194660953;720.462649164678;7;5;961.558193595878;25.2;12.8280941686597;49968;0.965936806054207;12.2726903903927;7.08954978034205;15.2859191314895;11.1897599711528;0.856302711772562;0.981716193164085;1.43904932328602;2.83220923164789;"D20180924";"H2B TSA-50nm D20180924";"no"
